"","X.1","X","desigcomercial","numbicicletas","numdocasvacias","time","add_data","add_hora","nrEstacao","estacao","lat","lng","TS","volume","maxBikes","nDocas","prob","retiradas","devolvidas"
"1",1,14225,"488 - Rua Fernando Namora / Rua António Quadros",8,12,"2020-10-15 06:18:11","2020-09-28","2020-10-15 05:14:50",488,"Rua Fernando Namora / Rua António Quadros",38.76014,-9.17526,"2020-09-28 06:18:11",-4,8,20,40,0,-4
"2",2,15512,"446 - Av. República / Interface Entrecampos ",27,13,"2020-10-15 06:35:13","2020-09-28","2020-10-15 05:34:53",446,"Av. República / Interface Entrecampos ",38.74456,-9.14773,"2020-09-28 06:35:13",-2,27,40,68,0,-2
"3",3,22750,"468 - Largo Frei Heitor Pinto",14,7,"2020-10-15 08:15:06","2020-09-28","2020-10-15 07:14:50",468,"Largo Frei Heitor Pinto",38.75482,-9.13827,"2020-09-28 08:15:06",-1,14,21,67,1,-1
"4",4,22774,"464 - Av. da Igreja / Rua Afonso Lopes Vieira",10,4,"2020-10-15 08:15:06","2020-09-28","2020-10-15 07:14:49",464,"Av. da Igreja / Rua Afonso Lopes Vieira",38.75165,-9.148427,"2020-09-28 08:15:06",-1,14,14,100,1,-1
"5",5,24256,"459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor",2,18,"2020-10-15 08:35:30","2020-09-28","2020-10-15 07:34:56",459,"Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor",38.751481,-9.141741,"2020-09-28 08:35:30",-1,6,20,30,3,-2
"6",6,25741,"463 - Campo Grande / Av. da Igreja",7,3,"2020-10-15 08:55:58","2020-09-28","2020-10-15 07:54:56",463,"Campo Grande / Av. da Igreja",38.75243,-9.14951,"2020-09-28 08:55:58",-2,8,10,80,0,-2
"7",7,25767,"460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio",4,11,"2020-10-15 08:55:58","2020-09-28","2020-10-15 07:54:59",460,"Av. Rio de Janeiro / Parque de Jogos 1º de Maio",38.75176,-9.13749,"2020-09-28 08:55:58",-1,5,15,33,2,-1
"8",8,25790,"408 - Praça Duque de Saldanha",8,2,"2020-10-15 08:55:58","2020-09-28","2020-10-15 07:54:51",408,"Praça Duque de Saldanha",38.733749,-9.144117,"2020-09-28 08:55:58",-2,8,10,80,1,-4
"9",9,27189,"490 - Rua Fernando Namora / Azinhaga da Torre do Fato",7,9,"2020-10-15 09:15:18","2020-09-28","2020-10-15 08:14:52",490,"Rua Fernando Namora / Azinhaga da Torre do Fato",38.76026,-9.17849,"2020-09-28 09:15:18",-1,7,16,44,2,-7
"10",10,27206,"407 - Praça Duque de Saldanha",8,9,"2020-10-15 09:15:18","2020-09-28","2020-10-15 08:15:00",407,"Praça Duque de Saldanha",38.73434,-9.14446,"2020-09-28 09:15:18",-2,8,17,47,1,-3
"11",11,27215,"430 - Av. Barbosa Du Bocage / Rua Arco do Cego",8,12,"2020-10-15 09:15:18","2020-09-28","2020-10-15 08:14:59",430,"Av. Barbosa Du Bocage / Rua Arco do Cego",38.74081,-9.14329,"2020-09-28 09:15:18",-1,10,20,50,3,-8
"12",12,27224,"215 - Av. 24 de Julho",15,2,"2020-10-15 09:15:18","2020-09-28","2020-10-15 08:15:00",215,"Av. 24 de Julho",38.70662,-9.14949,"2020-09-28 09:15:18",-2,15,17,88,0,-5
"13",13,28675,"309 - Rua da Palma",4,6,"2020-10-15 09:35:56","2020-09-28","2020-10-15 08:34:59",309,"Rua da Palma",38.71901,-9.13577,"2020-09-28 09:35:56",-1,10,10,100,3,-2
"14",14,30073,"426 - Av. Elias Garcia / Av. 5 de Outubro",7,7,"2020-10-15 09:55:27","2020-09-28","2020-10-15 08:54:59",426,"Av. Elias Garcia / Av. 5 de Outubro",38.739046,-9.14793,"2020-09-28 09:55:27",-2,7,14,50,1,-6
"15",15,30116,"471 - Rua Lopes de Mendonça / EB São João de Brito",1,9,"2020-10-15 09:55:27","2020-09-28","2020-10-15 08:54:58",471,"Rua Lopes de Mendonça / EB São João de Brito",38.756487,-9.137337,"2020-09-28 09:55:27",-1,6,10,60,1,-1
"16",16,31132,"401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo",12,4,"2020-10-15 10:15:08","2020-09-28","2020-10-15 09:14:55",401,"Rua Martens Ferrão / Av. Fontes Pereira de Melo",38.72894,-9.14742,"2020-09-28 10:15:08",-1,12,16,75,0,-6
"17",17,31137,"475 - Av. Professor Gama Pinto / Cantina Velha",8,33,"2020-10-15 10:15:08","2020-09-28","2020-10-15 09:14:58",475,"Av. Professor Gama Pinto / Cantina Velha",38.75115,-9.15907,"2020-09-28 10:15:08",-1,8,41,20,1,-4
"18",18,31198,"105 - CC Vasco da Gama",29,11,"2020-10-15 10:15:08","2020-09-28","2020-10-15 09:14:59",105,"CC Vasco da Gama",38.768548,-9.096222,"2020-09-28 10:15:08",-2,29,40,72,0,-13
"19",19,32225,"104 - Gare do Oriente",11,29,"2020-10-15 10:36:14","2020-09-28","2020-10-15 09:34:59",104,"Gare do Oriente",38.766716,-9.097322,"2020-09-28 10:36:14",-1,11,40,28,3,-7
"20",20,32242,"212 - Av. Infante Dom Henrique / Terminal de Cruzeiros",10,10,"2020-10-15 10:36:14","2020-09-28","2020-10-15 09:34:59",212,"Av. Infante Dom Henrique / Terminal de Cruzeiros",38.71035,-9.12769,"2020-09-28 10:36:14",-1,13,20,65,2,-2
"21",21,32283,"474 - Av. do Brasil / Av. Rio de Janeiro",5,11,"2020-10-15 10:36:14","2020-09-28","2020-10-15 09:34:57",474,"Av. do Brasil / Av. Rio de Janeiro",38.75832,-9.1409,"2020-09-28 10:36:14",-1,10,16,62,5,-9
